"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"VNRBP","Vanguard Natural Resources LLC","4.67","$32.69M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrbp"
"VNRCP","Vanguard Natural Resources LLC","4.77","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrcp"
"VONE","Vanguard Russell 1000 ETF","85.74","$471.57M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vone"
"VONG","Vanguard Russell 1000 Growth ETF","92.57","$425.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vong"
"VONV","Vanguard Russell 1000 Value ETF","79.13","$379.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vonv"
"VTWO","Vanguard Russell 2000 ETF","78.46","$470.76M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vtwo"
"VTWG","Vanguard Russell 2000 Growth ETF","85.04","$119.06M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vtwg"
"VTWV","Vanguard Russell 2000 Value ETF","72.0113","$64.81M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vtwv"
"VTHR","Vanguard Russell 3000 ETF","85.182","$153.33M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vthr"
"VCSH","Vanguard Short-Term Corporate Bond ETF","79.03","$10.42B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vcsh"
"VGSH","Vanguard Short-Term Government ETF","61.14","$580.83M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vgsh"
"VTIP","Vanguard Short-Term Inflation-Protected Securities Index Fund","48.4","$1.79B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vtip"
"BNDX","Vanguard Total International Bond ETF","53.69","$3.54B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bndx"
"VXUS","Vanguard Total International Stock ETF","41.66","$4.12B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxus"
"VPCO","Vapor Corp.","0.0057","$58710.47","n/a","Consumer Non-Durables","Tobacco","http://www.nasdaq.com/symbol/vpco"
"VRNS","Varonis Systems, Inc.","14.64","$377.1M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vrns"
"VDSI","VASCO Data Security International, Inc.","14.88","$592.63M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vdsi"
"VBLT","Vascular Biogenics Ltd.","3.39","$67.66M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vblt"
"VASC","Vascular Solutions, Inc.","25.1","$435.66M","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/vasc"
"VBIV","VBI Vaccines Inc.","1.96","$46.12M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vbiv"
"WOOF","VCA Inc. ","47.71","$3.85B","2001","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/woof"
"VECO","Veeco Instruments Inc.","17.91","$733.29M","1994","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/veco"
"APPY","Venaxis, Inc.","0.2624","$8.13M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/appy"
"VRA","Vera Bradley, Inc.","14.25","$541.21M","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/vra"
"VCYT","Veracyte, Inc.","5.36","$148.29M","2013","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/vcyt"
"VSTM","Verastem, Inc.","1.13","$41.74M","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vstm"
"VCEL","Vericel Corporation","2.06","$49.01M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vcel"
"VRNT","Verint Systems Inc.","33.43","$2.08B","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/vrnt"
"VRSN","VeriSign, Inc.","75.67","$8.44B","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/vrsn"
"VRSK","Verisk Analytics, Inc.","67.93","$11.51B","2009","Technology","EDP Services","http://www.nasdaq.com/symbol/vrsk"
"VBTX","Veritex Holdings, Inc.","13.99","$149.87M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/vbtx"
"VRML","Vermillion, Inc.","1.37","$71.25M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vrml"
"VSAR","Versartis, Inc.","9.36","$274.81M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vsar"
"VTNR","Vertex Energy, Inc","1.77","$49.94M","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/vtnr"
"VRTX","Vertex Pharmaceuticals Incorporated","86.61","$21.28B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vrtx"
"VRTB","Vestin Realty Mortgage II, Inc.","1.42","$3.54M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vrtb"
"VIA","Viacom Inc.","46.3","$18.36B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/via"
"VIAB","Viacom Inc.","43.24","$15.02B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/viab"
"VSAT","ViaSat, Inc.","57.7","$2.79B","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vsat"
"VIAV","Viavi Solutions Inc.","5.95","$1.41B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/viav"
"VICL","Vical Incorporated","0.3327","$30.45M","1993","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vicl"
"VICR","Vicor Corporation","7.42","$287.83M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vicr"
"CIZ","Victory CEMP Developed Enhanced Volatility Wtd Index ETF","29.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ciz"
"CID","Victory CEMP International High Div Volatility Wtd Index ETF","30.4701","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cid"
"CIL","Victory CEMP International Volatility Wtd Index ETF","30.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cil"
"CFO","Victory CEMP US 500 Enhanced Volatility Wtd Index ETF","33.06","$23.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfo"
"CFA","Victory CEMP US 500 Volatility Wtd Index ETF","33.0736","$6.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfa"
"CSF","Victory CEMP US Discovery Enhanced Volatility Wtd Index ETF","31.92","$17.56M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csf"
"CDC","Victory CEMP US EQ Income Enhanced Volatility Wtd Index ETF","34.685","$22.55M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdc"
"CDL","Victory CEMP US Large Cap High Div Volatility Wtd Index ETF","33.77","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdl"
"CSB","Victory CEMP US Small Cap High Div Volatility Wtd Index ETF","30.9801","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csb"
"CSA","Victory CEMP US Small Cap Volatility Wtd Index ETF","29.7028","$1.52B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csa"
"VBND","Vident Core U.S. Bond Strategy Fund","50.14","$431.2M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vbnd"
"VUSE","Vident Core US Equity ETF","22.62","$343.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vuse"
"VIDI","Vident International Equity Fund","19.18","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vidi"
"VDTH","Videocon d2h Limited","6.41","$629.78M","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/vdth"
"VKTX","Viking Therapeutics, Inc.","1.72","$16.65M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vktx"
"VBFC","Village Bank and Trust Financial Corp.","19.4799","$27.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/vbfc"
